2025-04-04 20:13:58 INFO Experiment |Starting round 1
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 2
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 3
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isRunning  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 4
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isRunning  end  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 5
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 6
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isNotReady  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 7
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isReady  pumpStart  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 8
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
2025-04-04 20:13:58 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isReady  pumpStart  setRunning  levelMsg 
2025-04-04 20:13:58 INFO Experiment |Starting round 9
2025-04-04 20:13:58 INFO Experiment |Learning
2025-04-04 20:13:58 INFO Experiment |Searching for counterexample
