2025-04-15 00:02:03 INFO Experiment |Starting round 1
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 2
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 3
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  isRunning  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 4
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  startCmd  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 5
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  startCmd  isStopped  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 6
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  startCmd  isRunning  end  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 7
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  stopCmd  isRunning  end 
2025-04-15 00:02:03 INFO Experiment |Starting round 8
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  stopCmd  isNotRunning  setStop  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 9
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  startCmd  isNotRunning  setReady  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 10
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  end 
2025-04-15 00:02:03 INFO Experiment |Starting round 11
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isReady 
2025-04-15 00:02:03 INFO Experiment |Starting round 12
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isReady  pumpStart  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 13
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  levelMsg  highLevel  isReady  setReady  isReady  pumpStart  setRunning  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 14
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:03 INFO Experiment |receiveMsg  commandMsg  stopCmd  isRunning  pumpStop  levelMsg 
2025-04-15 00:02:03 INFO Experiment |Starting round 15
2025-04-15 00:02:03 INFO Experiment |Learning
2025-04-15 00:02:03 INFO Experiment |Searching for counterexample
2025-04-15 00:02:04 INFO Infer_LearnLib |Rounds: 15
2025-04-15 00:02:04 INFO Infer_LearnLib |MQ [Resets]: 2199
2025-04-15 00:02:04 INFO Infer_LearnLib |MQ [Symbols]: 11921
2025-04-15 00:02:04 INFO Infer_LearnLib |EQ [Resets]: 378551
2025-04-15 00:02:04 INFO Infer_LearnLib |EQ [Symbols]: 2385584
